Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/02/1993 00:00,01/03/1993 00:00,1993-02,0.8,Y,57.6614,18.3428,,
01/03/1993 00:00,01/04/1993 00:00,1993-03,1.8,Y,57.6614,18.3428,,
01/04/1993 00:00,01/05/1993 00:00,1993-04,5.3,Y,57.6614,18.3428,,
01/05/1993 00:00,01/06/1993 00:00,1993-05,13.2,Y,57.6614,18.3428,,
01/06/1993 00:00,01/07/1993 00:00,1993-06,13,Y,57.6614,18.3428,,
01/07/1993 00:00,01/08/1993 00:00,1993-07,15.4,Y,57.6614,18.3428,,
01/08/1993 00:00,01/09/1993 00:00,1993-08,14.2,Y,57.6614,18.3428,,
01/09/1993 00:00,01/10/1993 00:00,1993-09,9.5,Y,57.6614,18.3428,,
01/10/1993 00:00,01/11/1993 00:00,1993-10,7.1,Y,57.6614,18.3428,,
01/11/1993 00:00,01/12/1993 00:00,1993-11,0.9,Y,57.6614,18.3428,,
01/12/1993 00:00,01/01/1994 00:00,1993-12,1.2,Y,57.6614,18.3428,,
01/01/1994 00:00,01/02/1994 00:00,1994-01,0.5,Y,57.6614,18.3428,,
01/02/1994 00:00,01/03/1994 00:00,1994-02,-4.5,Y,57.6614,18.3428,,
01/03/1994 00:00,01/04/1994 00:00,1994-03,1,Y,57.6614,18.3428,,
01/04/1994 00:00,01/05/1994 00:00,1994-04,6,Y,57.6614,18.3428,,
01/05/1994 00:00,01/06/1994 00:00,1994-05,8.1,Y,57.6614,18.3428,,
01/06/1994 00:00,01/07/1994 00:00,1994-06,13.1,Y,57.6614,18.3428,,
01/07/1994 00:00,01/08/1994 00:00,1994-07,19.4,Y,57.6614,18.3428,,
01/08/1994 00:00,01/09/1994 00:00,1994-08,17.4,Y,57.6614,18.3428,,
01/09/1994 00:00,01/10/1994 00:00,1994-09,12.7,Y,57.6614,18.3428,,
01/10/1994 00:00,01/11/1994 00:00,1994-10,7,Y,57.6614,18.3428,,
01/11/1994 00:00,01/12/1994 00:00,1994-11,4.1,Y,57.6614,18.3428,,
01/12/1994 00:00,01/01/1995 00:00,1994-12,2.8,Y,57.6614,18.3428,,
01/01/1995 00:00,01/02/1995 00:00,1995-01,-0.4,Y,57.6614,18.3428,,
01/02/1995 00:00,01/03/1995 00:00,1995-02,2,Y,57.6614,18.3428,,
01/03/1995 00:00,01/04/1995 00:00,1995-03,1.9,Y,57.6614,18.3428,,
01/04/1995 00:00,01/05/1995 00:00,1995-04,4.1,Y,57.6614,18.3428,,
01/05/1995 00:00,01/06/1995 00:00,1995-05,8.3,Y,57.6614,18.3428,,
01/06/1995 00:00,01/07/1995 00:00,1995-06,14.3,Y,57.6614,18.3428,,
01/07/1995 00:00,01/08/1995 00:00,1995-07,16.3,Y,57.6614,18.3428,,
01/08/1995 00:00,01/09/1995 00:00,1995-08,16.7,Y,57.6614,18.3428,,
