Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Risungs;78490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1933-02-01 00:00:00;1971-10-31 23:59:59;20.0;57.8166;18.9333

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1942-08-01 07:00:01;1942-09-01 07:00:00;1942-08;9.0;G
1942-09-01 07:00:01;1942-10-01 07:00:00;1942-09;100.0;G
1942-10-01 07:00:01;1942-11-01 07:00:00;1942-10;26.0;G
1942-11-01 07:00:01;1942-12-01 07:00:00;1942-11;27.0;G
1942-12-01 07:00:01;1943-01-01 07:00:00;1942-12;42.0;G
1943-01-01 07:00:01;1943-02-01 07:00:00;1943-01;54.0;G
1943-02-01 07:00:01;1943-03-01 07:00:00;1943-02;24.0;G
1943-03-01 07:00:01;1943-04-01 07:00:00;1943-03;12.0;G
1943-04-01 07:00:01;1943-05-01 07:00:00;1943-04;9.0;G
1943-05-01 07:00:01;1943-06-01 07:00:00;1943-05;20.0;G
1943-06-01 07:00:01;1943-07-01 07:00:00;1943-06;19.0;G
1943-07-01 07:00:01;1943-08-01 07:00:00;1943-07;1.0;G
1943-08-01 07:00:01;1943-09-01 07:00:00;1943-08;100.0;G
1943-09-01 07:00:01;1943-10-01 07:00:00;1943-09;74.0;G
1943-10-01 07:00:01;1943-11-01 07:00:00;1943-10;52.0;G
1943-11-01 07:00:01;1943-12-01 07:00:00;1943-11;85.0;G
1943-12-01 07:00:01;1944-01-01 07:00:00;1943-12;38.0;G
1944-01-01 07:00:01;1944-02-01 07:00:00;1944-01;52.0;G
1944-02-01 07:00:01;1944-03-01 07:00:00;1944-02;29.0;G
1944-03-01 07:00:01;1944-04-01 07:00:00;1944-03;39.0;G
1944-04-01 07:00:01;1944-05-01 07:00:00;1944-04;19.0;G
1944-05-01 07:00:01;1944-06-01 07:00:00;1944-05;35.0;G
1944-06-01 07:00:01;1944-07-01 07:00:00;1944-06;40.0;G
1944-07-01 07:00:01;1944-08-01 07:00:00;1944-07;30.0;G
1944-08-01 07:00:01;1944-09-01 07:00:00;1944-08;27.0;G
1944-09-01 07:00:01;1944-10-01 07:00:00;1944-09;47.0;G
1944-10-01 07:00:01;1944-11-01 07:00:00;1944-10;42.0;G
1944-11-01 07:00:01;1944-12-01 07:00:00;1944-11;102.0;G
1944-12-01 07:00:01;1945-01-01 07:00:00;1944-12;58.0;G
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;66.6;Y
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;45.9;Y
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;23.3;Y
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;53.8;Y
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;39.1;Y
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;29.8;Y
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;33.3;Y
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;79.0;G
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;61.1;Y
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;43.8;Y
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;30.0;G
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;73.2;Y
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;53.0;G
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;41.7;Y
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;21.5;Y
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;14.5;Y
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;30.6;Y
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;44.2;Y
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;80.0;G
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;133.8;Y
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;66.9;Y
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;34.3;Y
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;33.1;Y
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;23.7;Y
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;32.9;Y
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;20.2;Y
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;60.9;Y
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;26.5;Y
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;17.2;Y
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;44.1;Y
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;41.0;G
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;43.7;Y
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;23.4;Y
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;7.5;Y
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;57.4;Y
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;92.4;Y
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;103.6;Y
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;21.9;Y
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;19.5;Y
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;20.0;G
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;32.9;Y
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;48.8;Y
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;20.5;Y
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;140.4;Y
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;92.2;Y
1948-10-01 06:00:01;1948-11-01 06:00:00;1948-10;20.7;Y
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;37.9;Y
1948-12-01 06:00:01;1949-01-01 06:00:00;1948-12;8.1;Y
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;34.1;Y
1949-02-01 06:00:01;1949-03-01 06:00:00;1949-02;12.2;Y
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;14.2;Y
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;50.2;Y
1949-05-01 06:00:01;1949-06-01 06:00:00;1949-05;28.0;G
1949-06-01 06:00:01;1949-07-01 06:00:00;1949-06;33.8;Y
1949-07-01 06:00:01;1949-08-01 06:00:00;1949-07;33.8;Y
