Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stenstugu Försöksgård;78360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1880-12-01 00:00:00;1993-03-01 23:59:59;45.0;57.5979;18.4507

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;62.8;Y
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;33.7;Y
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;29.4;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;20.0;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;14.0;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;49.0;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;22.7;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;14.2;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;74.1;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;16.6;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;87.9;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;77.6;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;58.0;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;34.9;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;67.8;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;43.0;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;23.1;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;2.5;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;11.9;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;35.6;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;94.1;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;28.4;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;54.9;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;134.8;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;100.0;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;101.4;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;25.6;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;6.8;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;48.2;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;21.1;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;23.5;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;1.9;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;43.0;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;44.1;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;38.3;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;35.4;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;38.0;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;16.5;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;54.1;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;22.6;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;26.7;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;42.4;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;24.0;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;10.8;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;29.7;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;23.1;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;46.7;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;21.4;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;42.3;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;105.0;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;35.4;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;28.7;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;19.3;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;22.7;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;30.4;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;19.2;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;75.8;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;6.8;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;78.7;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;44.8;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;65.1;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;75.0;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;54.2;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;30.0;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;68.9;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;4.5;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;9.6;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;18.5;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;43.4;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;64.1;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;105.1;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;14.4;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;54.9;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;20.0;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;76.1;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;24.5;Y
