Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hoburg D;68550;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2013-01-01 00:00:00;2019-06-01 15:00:00;38.0;56.922;18.1504
1880-01-01 00:00:00;2012-12-31 23:59:59;38.0;56.9222;18.1471

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1899-04-01 07:00:01;1899-05-01 07:00:00;1899-04;32.0;G
1899-05-01 07:00:01;1899-06-01 07:00:00;1899-05;23.0;G
1899-06-01 07:00:01;1899-07-01 07:00:00;1899-06;28.0;G
1899-07-01 07:00:01;1899-08-01 07:00:00;1899-07;6.0;G
1899-08-01 07:00:01;1899-09-01 07:00:00;1899-08;11.0;G
1899-09-01 07:00:01;1899-10-01 07:00:00;1899-09;50.0;G
1899-10-01 07:00:01;1899-11-01 07:00:00;1899-10;27.0;G
1899-11-01 07:00:01;1899-12-01 07:00:00;1899-11;31.0;G
1899-12-01 07:00:01;1900-01-01 07:00:00;1899-12;23.0;G
1900-01-01 07:00:01;1900-02-01 07:00:00;1900-01;65.0;G
1900-02-01 07:00:01;1900-03-01 07:00:00;1900-02;109.0;G
1900-03-01 07:00:01;1900-04-01 07:00:00;1900-03;31.0;G
1900-04-01 07:00:01;1900-05-01 07:00:00;1900-04;23.0;G
1900-05-01 07:00:01;1900-06-01 07:00:00;1900-05;4.0;G
1900-06-01 07:00:01;1900-07-01 07:00:00;1900-06;34.0;G
1900-07-01 07:00:01;1900-08-01 07:00:00;1900-07;18.0;G
1900-08-01 07:00:01;1900-09-01 07:00:00;1900-08;27.0;G
1900-09-01 07:00:01;1900-10-01 07:00:00;1900-09;50.0;G
1900-10-01 07:00:01;1900-11-01 07:00:00;1900-10;91.0;G
1900-11-01 07:00:01;1900-12-01 07:00:00;1900-11;29.0;G
1900-12-01 07:00:01;1901-01-01 07:00:00;1900-12;59.0;G
1901-01-01 07:00:01;1901-02-01 07:00:00;1901-01;23.0;G
1901-02-01 07:00:01;1901-03-01 07:00:00;1901-02;34.0;G
1901-03-01 07:00:01;1901-04-01 07:00:00;1901-03;12.0;G
1901-04-01 07:00:01;1901-05-01 07:00:00;1901-04;21.0;G
1901-05-01 07:00:01;1901-06-01 07:00:00;1901-05;2.0;G
1901-06-01 07:00:01;1901-07-01 07:00:00;1901-06;21.0;G
1901-07-01 07:00:01;1901-08-01 07:00:00;1901-07;12.0;G
1901-08-01 07:00:01;1901-09-01 07:00:00;1901-08;50.0;G
1901-09-01 07:00:01;1901-10-01 07:00:00;1901-09;21.0;G
1901-10-01 07:00:01;1901-11-01 07:00:00;1901-10;61.0;G
1901-11-01 07:00:01;1901-12-01 07:00:00;1901-11;39.0;G
1901-12-01 07:00:01;1902-01-01 07:00:00;1901-12;64.0;G
1902-01-01 07:00:01;1902-02-01 07:00:00;1902-01;58.0;G
1902-02-01 07:00:01;1902-03-01 07:00:00;1902-02;9.0;G
1902-03-01 07:00:01;1902-04-01 07:00:00;1902-03;41.0;G
1902-04-01 07:00:01;1902-05-01 07:00:00;1902-04;14.0;G
1902-05-01 07:00:01;1902-06-01 07:00:00;1902-05;29.0;G
1902-06-01 07:00:01;1902-07-01 07:00:00;1902-06;50.0;G
1902-07-01 07:00:01;1902-08-01 07:00:00;1902-07;17.0;G
1902-08-01 07:00:01;1902-09-01 07:00:00;1902-08;36.0;G
1902-09-01 07:00:01;1902-10-01 07:00:00;1902-09;27.0;G
1902-10-01 07:00:01;1902-11-01 07:00:00;1902-10;44.0;G
1902-11-01 07:00:01;1902-12-01 07:00:00;1902-11;3.0;G
1902-12-01 07:00:01;1903-01-01 07:00:00;1902-12;62.0;G
1903-01-01 07:00:01;1903-02-01 07:00:00;1903-01;32.0;G
1903-02-01 07:00:01;1903-03-01 07:00:00;1903-02;17.0;G
1903-03-01 07:00:01;1903-04-01 07:00:00;1903-03;13.0;G
1903-04-01 07:00:01;1903-05-01 07:00:00;1903-04;36.0;G
1903-05-01 07:00:01;1903-06-01 07:00:00;1903-05;21.0;G
1903-06-01 07:00:01;1903-07-01 07:00:00;1903-06;9.0;G
1903-07-01 07:00:01;1903-08-01 07:00:00;1903-07;26.0;G
1903-08-01 07:00:01;1903-09-01 07:00:00;1903-08;87.0;G
1903-09-01 07:00:01;1903-10-01 07:00:00;1903-09;32.0;G
1903-10-01 07:00:01;1903-11-01 07:00:00;1903-10;39.0;G
1903-11-01 07:00:01;1903-12-01 07:00:00;1903-11;54.0;G
1903-12-01 07:00:01;1904-01-01 07:00:00;1903-12;28.0;G
1904-01-01 07:00:01;1904-02-01 07:00:00;1904-01;36.0;G
1904-02-01 07:00:01;1904-03-01 07:00:00;1904-02;54.0;G
1904-03-01 07:00:01;1904-04-01 07:00:00;1904-03;26.0;G
1904-04-01 07:00:01;1904-05-01 07:00:00;1904-04;30.0;G
1904-05-01 07:00:01;1904-06-01 07:00:00;1904-05;25.0;G
1904-06-01 07:00:01;1904-07-01 07:00:00;1904-06;23.0;G
1904-07-01 07:00:01;1904-08-01 07:00:00;1904-07;12.0;G
1904-08-01 07:00:01;1904-09-01 07:00:00;1904-08;30.0;G
1904-09-01 07:00:01;1904-10-01 07:00:00;1904-09;26.0;G
1904-10-01 07:00:01;1904-11-01 07:00:00;1904-10;47.0;G
1904-11-01 07:00:01;1904-12-01 07:00:00;1904-11;60.0;G
1904-12-01 07:00:01;1905-01-01 07:00:00;1904-12;57.0;G
1905-01-01 07:00:01;1905-02-01 07:00:00;1905-01;36.0;G
1905-02-01 07:00:01;1905-03-01 07:00:00;1905-02;21.0;G
1905-03-01 07:00:01;1905-04-01 07:00:00;1905-03;18.0;G
1905-04-01 07:00:01;1905-05-01 07:00:00;1905-04;20.0;G
1905-05-01 07:00:01;1905-06-01 07:00:00;1905-05;12.0;G
1905-06-01 07:00:01;1905-07-01 07:00:00;1905-06;30.0;G
1905-07-01 07:00:01;1905-08-01 07:00:00;1905-07;81.0;G
1905-08-01 07:00:01;1905-09-01 07:00:00;1905-08;57.0;G
1905-09-01 07:00:01;1905-10-01 07:00:00;1905-09;27.0;G
1905-10-01 07:00:01;1905-11-01 07:00:00;1905-10;66.0;G
1905-11-01 07:00:01;1905-12-01 07:00:00;1905-11;75.0;G
1905-12-01 07:00:01;1906-01-01 07:00:00;1905-12;7.0;G
1906-01-01 07:00:01;1906-02-01 07:00:00;1906-01;20.0;G
1906-02-01 07:00:01;1906-03-01 07:00:00;1906-02;24.0;G
1906-03-01 07:00:01;1906-04-01 07:00:00;1906-03;55.0;G
1906-04-01 07:00:01;1906-05-01 07:00:00;1906-04;17.0;G
1906-05-01 07:00:01;1906-06-01 07:00:00;1906-05;24.0;G
1906-06-01 07:00:01;1906-07-01 07:00:00;1906-06;47.0;G
1906-07-01 07:00:01;1906-08-01 07:00:00;1906-07;6.0;G
1906-08-01 07:00:01;1906-09-01 07:00:00;1906-08;46.0;G
1906-09-01 07:00:01;1906-10-01 07:00:00;1906-09;12.0;G
1906-10-01 07:00:01;1906-11-01 07:00:00;1906-10;25.0;G
1906-11-01 07:00:01;1906-12-01 07:00:00;1906-11;88.0;G
1906-12-01 07:00:01;1907-01-01 07:00:00;1906-12;35.0;G
1907-01-01 07:00:01;1907-02-01 07:00:00;1907-01;34.0;G
