Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Nederbördsmängd,Kvalitet,Latitude,Longitude
1899-10-01 07:00:01,1899-11-01 07:00:00,1899-10,27,G,56.9222,18.1471
1899-11-01 07:00:01,1899-12-01 07:00:00,1899-11,31,G,56.9222,18.1471
1899-12-01 07:00:01,1/1/00 7:00,1899-12,23,G,56.9222,18.1471
1/1/00 7:00,2/1/00 7:00,1900-01,65,G,56.9222,18.1471
2/1/00 7:00,3/1/00 7:00,1900-02,109,G,56.9222,18.1471
3/1/00 7:00,4/1/00 7:00,1900-03,31,G,56.9222,18.1471
4/1/00 7:00,5/1/00 7:00,1900-04,23,G,56.9222,18.1471
5/1/00 7:00,6/1/00 7:00,1900-05,4,G,56.9222,18.1471
6/1/00 7:00,7/1/00 7:00,1900-06,34,G,56.9222,18.1471
7/1/00 7:00,8/1/00 7:00,1900-07,18,G,56.9222,18.1471
8/1/00 7:00,9/1/00 7:00,1900-08,27,G,56.9222,18.1471
9/1/00 7:00,10/1/00 7:00,1900-09,50,G,56.9222,18.1471
10/1/00 7:00,11/1/00 7:00,1900-10,91,G,56.9222,18.1471
11/1/00 7:00,12/1/00 7:00,1900-11,29,G,56.9222,18.1471
12/1/00 7:00,1/1/01 7:00,1900-12,59,G,56.9222,18.1471
1/1/01 7:00,2/1/01 7:00,1901-01,23,G,56.9222,18.1471
2/1/01 7:00,3/1/01 7:00,1901-02,34,G,56.9222,18.1471
3/1/01 7:00,4/1/01 7:00,1901-03,12,G,56.9222,18.1471
4/1/01 7:00,5/1/01 7:00,1901-04,21,G,56.9222,18.1471
5/1/01 7:00,6/1/01 7:00,1901-05,2,G,56.9222,18.1471
6/1/01 7:00,7/1/01 7:00,1901-06,21,G,56.9222,18.1471
7/1/01 7:00,8/1/01 7:00,1901-07,12,G,56.9222,18.1471
8/1/01 7:00,9/1/01 7:00,1901-08,50,G,56.9222,18.1471
9/1/01 7:00,10/1/01 7:00,1901-09,21,G,56.9222,18.1471
10/1/01 7:00,11/1/01 7:00,1901-10,61,G,56.9222,18.1471
11/1/01 7:00,12/1/01 7:00,1901-11,39,G,56.9222,18.1471
12/1/01 7:00,1/1/02 7:00,1901-12,64,G,56.9222,18.1471
1/1/02 7:00,2/1/02 7:00,1902-01,58,G,56.9222,18.1471
2/1/02 7:00,3/1/02 7:00,1902-02,9,G,56.9222,18.1471
3/1/02 7:00,4/1/02 7:00,1902-03,41,G,56.9222,18.1471
4/1/02 7:00,5/1/02 7:00,1902-04,14,G,56.9222,18.1471
5/1/02 7:00,6/1/02 7:00,1902-05,29,G,56.9222,18.1471
6/1/02 7:00,7/1/02 7:00,1902-06,50,G,56.9222,18.1471
7/1/02 7:00,8/1/02 7:00,1902-07,17,G,56.9222,18.1471
8/1/02 7:00,9/1/02 7:00,1902-08,36,G,56.9222,18.1471
9/1/02 7:00,10/1/02 7:00,1902-09,27,G,56.9222,18.1471
10/1/02 7:00,11/1/02 7:00,1902-10,44,G,56.9222,18.1471
11/1/02 7:00,12/1/02 7:00,1902-11,3,G,56.9222,18.1471
12/1/02 7:00,1/1/03 7:00,1902-12,62,G,56.9222,18.1471
1/1/03 7:00,2/1/03 7:00,1903-01,32,G,56.9222,18.1471
2/1/03 7:00,3/1/03 7:00,1903-02,17,G,56.9222,18.1471
3/1/03 7:00,4/1/03 7:00,1903-03,13,G,56.9222,18.1471
4/1/03 7:00,5/1/03 7:00,1903-04,36,G,56.9222,18.1471
5/1/03 7:00,6/1/03 7:00,1903-05,21,G,56.9222,18.1471
6/1/03 7:00,7/1/03 7:00,1903-06,9,G,56.9222,18.1471
7/1/03 7:00,8/1/03 7:00,1903-07,26,G,56.9222,18.1471
8/1/03 7:00,9/1/03 7:00,1903-08,87,G,56.9222,18.1471
9/1/03 7:00,10/1/03 7:00,1903-09,32,G,56.9222,18.1471
10/1/03 7:00,11/1/03 7:00,1903-10,39,G,56.9222,18.1471
11/1/03 7:00,12/1/03 7:00,1903-11,54,G,56.9222,18.1471
12/1/03 7:00,1/1/04 7:00,1903-12,28,G,56.9222,18.1471
1/1/04 7:00,2/1/04 7:00,1904-01,36,G,56.9222,18.1471
2/1/04 7:00,3/1/04 7:00,1904-02,54,G,56.9222,18.1471
3/1/04 7:00,4/1/04 7:00,1904-03,26,G,56.9222,18.1471
4/1/04 7:00,5/1/04 7:00,1904-04,30,G,56.9222,18.1471
5/1/04 7:00,6/1/04 7:00,1904-05,25,G,56.9222,18.1471
6/1/04 7:00,7/1/04 7:00,1904-06,23,G,56.9222,18.1471
7/1/04 7:00,8/1/04 7:00,1904-07,12,G,56.9222,18.1471
8/1/04 7:00,9/1/04 7:00,1904-08,30,G,56.9222,18.1471
9/1/04 7:00,10/1/04 7:00,1904-09,26,G,56.9222,18.1471
10/1/04 7:00,11/1/04 7:00,1904-10,47,G,56.9222,18.1471
11/1/04 7:00,12/1/04 7:00,1904-11,60,G,56.9222,18.1471
12/1/04 7:00,1/1/05 7:00,1904-12,57,G,56.9222,18.1471
